33,Was it really some other person I was so anxious to discover when I did all of that looking or was it only my own solitude that I could not abide ?,408,2121
30,Although doubtless when I say they are half empty I should really be saying they are half filled since presumably they were totally empty before somebody half filled them,810,2567
29,Still I find it extraordinary that young men died there in a war that long ago and then died in the same place three thousand years after that,28,894
27,Even if a part I have always liked is when Orestes finally comes back after so many years and Electra does not recognize her own brother,686,2953
27,Then again it is not impossible that they were once filled completely becoming half empty only when somebody removed half of the books to the basement,811,2568
25,so that I do not have to go and fight over Helen of Troy That hardly being the manner in which one imagines that,3045,3046
24,that one of the children to whom Brahms now and again gave some of that candy might very well have been Ludwig Wittgenstein,2679,2680
24,that young men died there in a war that long ago and then died in the same place three thousand years after that,3053
22,These beach houses are all wood of course All I could do was sit at the dunes and watch it burn,61,860
22,One moment I had been halfway up the stairs and a moment after that I was making believe I was Icarus,738,2873
22,Although doubtless I had been feeling out of sorts for some days which I would have invariably laid to other causes,752,2878
22,to see who would pay tariff to whom so as to be able to make use of a channel of water,892,3065
22,that Brahms was known for carrying candy in his pocket to give to children when he visited people who had children,2678,2682
21,Forgetting for the same instant that I was carrying forty-five square feet of canvas on stretchers up a stone stairway,749,2876
20,High high against the clouds little more than a speck but then swooping in the direction of the sea,378,3037
20,if I have concluded that there is nothing in the painting except shapes am I also concluding that there,845,877
20,can not remember what I had been trying to get that monstrosity of a canvas up that stairway for,984,2941
20,Should anybody else have looked where my signature would have been was under the other person 's image however,1026,2450
20,was known for carrying candy in his pocket to give to children when he visited people who had children,1946
19,able to see then is like that nine-foot canvas of mine with its opaque four white coats of,518,681
19,Skittering from one end of the main floor to the other in fact when the mood took me,759,2971
18,For the life of me I can not remember what I had been trying to get that,764,984,2045
18,Mornings when the leaves are dewy some of them are like jewels where the earliest sunlight glistens,328,2007
18,Before I ever saw one I would have supposed that castles in Spain was just a phrase,431,2120
18,I find this second possibility less likely than the first although it is not utterly beyond consideration,812,2569
18,Oh dear the wind has just broken one of the windows in one of the rooms downstairs,971,2862
17,I have no idea what I have been saying that has now made me think about,1556,2634,3426
17,small Like little more than your ordinary city block and a few stories in height practically,16,1984
17,that one can now kneel and drink from the Loire or the Po or the Mississippi,230,1191
17,You will never know how much it has meant to me that you are an artist,462,3590
17,What do you want strange man ? I believe this is what Electra says to him,687,2954
